index,subset,utt_num,text,pronounce,monophone
0,a,a01,あらゆる現実を、すべて自分のほうへねじ曲げたのだ。,あらゆるげんじつを、すべてじぶんのほーえねじまげたのだ。,a r a y u r u g e N j i ts u o # s u b e t e j i b u N n o h o: e n e j i m a g e t a n o d a
1,a,a02,一週間ばかり、ニューヨークを取材した。,いっしゅーかんばかり、にゅーよーくをしゅざいした。,i q sh u: k a N b a k a r i # ny u: y o: k u o sh u z a i sh i t a
2,a,a03,テレビゲームやパソコンで、ゲームをして遊ぶ。,てれびげーむやぱそこんで、げーむをしてあそぶ。,t e r e b i g e: m u y a p a s o k o N d e # g e: m u o sh i t e a s o b u
3,a,a04,物価の変動を考慮して、給付水準を決める必要がある。,ぶっかのへんどーをこーりょして、きゅーふすいじゅんをきめるひつよーがある。,b u q k a n o h e N d o: o k o: ry o sh i t e # ky u: f u s u i j u N o k i m e r u h i ts u y o: g a a r u
4,a,a05,救急車が十分に動けず、救助作業が遅れている。,きゅうきゅうしゃがじゅーぶんにうごけず、きゅーじょさぎょーがおくれている。,ky u u ky u u sh a g a j u: b u N n i u g o k e z u # ky u: j o s a gy o: g a o k u r e t e i r u
5,a,a06,言論の自由は、一歩譲れば、百歩も千歩も攻め込まれる。,げんろんのじゆーわ、いっぽゆずれば、ひゃっぽもせんぽもせめこまれる。,g e N r o N n o j i y u: w a # i q p o y u z u r e b a # hy a q p o m o s e N p o m o s e m e k o m a r e r u
6,a,a07,会場の周辺には、原宿駅や、代々木駅もあるし、ちょっと歩けば、新宿御苑駅もある。,かいじょーのしゅーへんにわ、はらじゅくえきや、よよぎえきもあるし、ちょっとあるけば、しんじゅくぎょえんえきもある。,k a i j o: n o sh u: h e N n i w a # h a r a j u k u e k i y a # y o y o g i e k i m o a r u sh i # ch o q t o a r u k e b a # sh i N j u k u gy o e N e k i m o a r u
7,a,a08,老人ホームの場合は、健康器具や、ひざ掛けだ。,ろーじんほーむのばあいわ、けんこーきぐや、ひざかけだ。,r o: j i N h o: m u n o b a a i w a # k e N k o: k i g u y a # h i z a k a k e d a
8,a,a09,ちょっと遅い昼食をとるため、ファミリーレストランに入ったのです。,ちょっとおそいちゅーしょくをとるため、ふぁみりーれすとらんにはいったのです。,ch o q t o o s o i ch u: sh o k u o t o r u t a m e # f a m i r i: r e s u t o r a N n i h a i q t a n o d e s u
9,a,a10,嬉しいはずが、ゆっくり寝てもいられない。,うれしいはずが、ゆっくりねてもいられない。,u r e sh i i h a z u g a # y u q k u r i n e t e m o i r a r e n a i
