utt_num,num,text,pronounce,monophone
BASIC5000_0001,0001,水をマレーシアから買わなくてはならないのです。,みずをまれーしあからかわなくてわならないのです,m i z u o m a r e: sh i a k a r a k a w a n a k u t e w a n a r a n a i n o d e s u
BASIC5000_0002,0002,木曜日、停戦会談は、何の進展もないまま終了しました。,もくよーび、てーせんかいだんわ、なんのしんてんもないまましゅーりょーしました,m o k u y o: b i sp t e: s e N k a i d a N w a sp n a N n o sh i N t e N m o n a i m a m a sh u: ry o: sh i m a sh i t a
BASIC5000_0003,0003,上院議員は私がデータをゆがめたと告発した。,じょーいんぎーんわ、わたしがでーたをゆがめたとこくはつした,j o: i N g i: N w a sp w a t a sh i g a d e: t a o y u g a m e t a t o k o k u h a ts u sh i t a
BASIC5000_0004,0004,１週間して、そのニュースは本当になった。,いっしゅーかんして、そのにゅーすわほんとーになった,i q sh u: k a N sh i t e sp s o n o ny u: s u w a h o N t o: n i n a q t a
BASIC5000_0005,0005,血圧は、健康のパロメーターとして重要である。,けつあつわ、けんこーのぱろめーたーとしてじゅーよーである,k e ts u a ts u w a sp k e N k o: n o p a r o m e: t a: t o sh i t e j u: y o: d e a r u
BASIC5000_0006,0006,週に四回、フランスの授業があります。,しゅーによんかい、ふらんすのじゅぎょーがあります,sh u: n i y o N k a i sp f u r a N s u n o j u gy o: g a a r i m a s u
BASIC5000_0007,0007,許可書がなければここへは入れない。,きょかしょがなければここえわはいれない,ky o k a sh o g a n a k e r e b a k o k o e w a h a i r e n a i
BASIC5000_0008,0008,大声で泣きながら、女の子は母親を探していた。,おーごえでなきながら、おんなのこわははおやをさがしていた,o: g o e d e n a k i n a g a r a sp o N n a n o k o w a h a h a o y a o s a g a sh i t e i t a
BASIC5000_0009,0009,無罪の人々は、もちろん放免された。,むざいのひとびとわ、もちろんほーめんされた,m u z a i n o h i t o b i t o w a sp m o ch i r o N h o: m e N s a r e t a
BASIC5000_0010,0010,末期試験に備えて、本当に気合いを入れて勉強しなきゃ。,まっきしけんにそなえて、ほんとーにきあいをいれてべんきょーしなきゃ,m a q k i sh i k e N n i s o n a e t e sp h o N t o: n i k i a i o i r e t e b e N ky o: sh i n a ky a
BASIC5000_0011,0011,木曽川は、しばしば日本のライン川と呼ばれている。,きそがわわ、しばしばにほんのらいんがわとよばれている,k i s o g a w a w a sp sh i b a sh i b a n i h o N n o r a i N g a w a t o y o b a r e t e i r u
BASIC5000_0012,0012,溺れかかっていた乗客は、すべて救助された。,おぼれかかっていたじょーきゃくわ、すべてきゅーじょされた,o b o r e k a k a q t e i t a j o: ky a k u w a sp s u b e t e ky u: j o s a r e t a
BASIC5000_0013,0013,中心部にあるので、商店や、オフィスに行くのに便利です。,ちゅーしんぶにあるので、しょーてんや、おふぃすにいくのにべんりです,ch u: sh i N b u n i a r u n o d e sp sh o: t e N y a sp o f i s u n i i k u n o n i b e N r i d e s u
