subset,num,utt_num,text,pronounce,monophone
0,0,0_0,少ない施肥量が過剰施肥を防ぐ。,すくないせひりょうがかじょーせひをふせぐ。,s u k u n a i s e h i ry o u g a k a j o: s e h i o f u s e g u
0,1,0_1,ファイアーはバーナー攻撃をしてくる。,ふぁいあーわばーなーこーげきをしてくる。,f a i a: w a b a: n a: k o: g e k i o sh i t e k u r u
0,2,0_2,そのせいで長女がへそを曲げてしまう。,そのせいでちょーじょがへそをまげてしまう。,s o n o s e i d e ch o: j o g a h e s o o m a g e t e sh i m a u
0,3,0_3,地酒や地ビールに呼応した名称。,じざけやじびーるにこおーしためいしょー。,j i z a k e y a j i b i: r u n i k o o: sh i t a m e i sh o:
0,4,0_4,ピタリとシャフト折れの不具合は止んだ。,ぴたりとしゃふとおれのふぐあいわやんだ。,p i t a r i t o sh a f u t o o r e n o f u g u a i w a y a N d a
0,5,0_5,節水を謳う商品も数多い。,せっすいをうたうしょーひんもかずおーい。,s e q s u i o u t a u sh o: h i N m o k a z u o: i
0,6,0_6,早速レコード作りへ動き出した。,さっそくれこーどずくりえうごきだした。,s a q s o k u r e k o: d o z u k u r i e u g o k i d a sh i t a
0,7,0_7,刻印付き円銀を流通させた。,こくいんつきえんぎんをりゅーつーさせた。,k o k u i N ts u k i e N g i N o ry u: ts u: s a s e t a
0,8,0_8,道端や荒れ地などに生える雑草。,みちばたやあれちなどにはえるざっそー。,m i ch i b a t a y a a r e ch i n a d o n i h a e r u z a q s o:
0,9,0_9,なぜ少女雑誌を出版しないのか。,なぜしょーじょざっしをしゅっぱんしないのか。,n a z e sh o: j o z a q sh i o sh u q p a N sh i n a i n o k a
0,10,0_10,邪悪な美しい女王とも言われる。,じゃあくなうつくしいじょおーともいわれる。,j a a k u n a u ts u k u sh i i j o o: t o m o i w a r e r u
0,11,0_11,こちらはほぼ白青のツートンカラー。,こちらわほぼしろあおのつーとんからー。,k o ch i r a w a h o b o sh i r o a o n o ts u: t o N k a r a:
0,12,0_12,ボギー車はエアブレーキを常用した。,ぼぎーしゃわえあぶれーきをじょーよーした。,b o g i: sh a w a e a b u r e: k i o j o: y o: sh i t a
0,13,0_13,共通通貨ユーロを誕生させた。,きょーつーつーかゆーろをたんじょーさせた。,ky o: ts u: ts u: k a y u: r o o t a N j o: s a s e t a
0,14,0_14,もうペニーロイヤルなんぞどうでもいい。,もーぺにーろいやるなんぞどーでもいい。,m o: p e n i: r o i y a r u n a N z o d o: d e m o i i
0,15,0_15,列車に乗り遅れたりで右往左往。,れっしゃにのりおくれたりでうおーさおー。,r e q sh a n i n o r i o k u r e t a r i d e u o: s a o:
0,16,0_16,父は小作農兼ぞうり売りだった。,ちちわこさくのーけんぞうりうりだった。,ch i ch i w a k o s a k u n o: k e N z o u r i u r i d a q t a
0,17,0_17,牛そり、犬ぞり、牛馬も同様。,うしそり、いぬぞり、ぎゅーばもどーよー。,u sh i s o r i # i n u z o r i # gy u: b a m o d o: y o:
0,18,0_18,あるいは罪人が憐れみを乞う歌。,あるいわざいにんがあわれみをこううた。,a r u i w a z a i n i N g a a w a r e m i o k o u u t a
0,19,0_19,エアバッグの意匠一部変更など。,えあばっぐのいしょーいちぶへんこーなど。,e a b a q g u n o i sh o: i ch i b u h e N k o: n a d o
0,20,0_20,かまぼこ兵舎が多数造営された。,かまぼこへいしゃがたすーぞーえいされた。,k a m a b o k o h e i sh a g a t a s u: z o: e i s a r e t a
0,21,0_21,議員って野郎どもはそういうもんだ。,ぎいんってやろーどもわそーゆうもんだ。,g i i N q t e y a r o: d o m o w a s o: y u u m o N d a
0,22,0_22,ほぼキープコンセプトでのモデルチェンジ。,ほぼきーぷこんせぷとでのもでるちぇんじ。,h o b o k i: p u k o N s e p u t o d e n o m o d e r u ch e N j i
0,23,0_23,アウターループを通過し森の中へ。,あうたーるーぷをつーかしもりのなかえ。,a u t a: r u: p u o ts u: k a sh i m o r i n o n a k a e
0,24,0_24,機銃座も数箇所据えつけられていた。,きじゅーざもすーかしょすえつけられていた。,k i j u: z a m o s u: k a sh o s u e ts u k e r a r e t e i t a
0,25,0_25,やめちゃうなんて本当に残念だわ。,やめちゃうなんてほんとーにざんねんだわ。,y a m e ch a u n a N t e h o N t o: n i z a N n e N d a w a
0,26,0_26,彼は両腕を前方へ突き出した。,かれわりょーうでをぜんぽーえつきだした。,k a r e w a ry o: u d e o z e N p o: e ts u k i d a sh i t a
0,27,0_27,場所中初めて星を五分に戻した。,ばしょちゅーはじめてほしをごぶにもどした。,b a sh o ch u: h a j i m e t e h o sh i o g o b u n i m o d o sh i t a
0,28,0_28,解体後は骨や所持品を焼却。,かいたいごわほねやしょじひんをしょーきゃく。,k a i t a i g o w a h o n e y a sh o j i h i N o sh o: ky a k u
0,29,0_29,大筋のストーリーは共通である。,おーすじのすとーりーわきょーつーである。,o: s u j i n o s u t o: r i: w a ky o: ts u: d e a r u
0,30,0_30,長考派で重厚沈着な碁風。,ちょーこーはでじゅーこーちんちゃくなごふー。,ch o: k o: h a d e j u: k o: ch i N ch a k u n a g o f u:
0,31,0_31,型は一切メソッドに依存しない。,かたわいっさいめそっどにいぞんしない。,k a t a w a i q s a i m e s o q d o n i i z o N sh i n a i
0,32,0_32,漢音や呉音、音読みを参照。,かんおんやごおん、おんよみをさんしょー。,k a N o N y a g o o N # o N y o m i o s a N sh o:
0,33,0_33,ボルシェビキを同地で虐殺している。,ぼるしぇびきをどーちでぎゃくさつしている。,b o r u sh e b i k i o d o: ch i d e gy a k u s a ts u sh i t e i r u
0,34,0_34,キャッチフレーズは、世界のホビーハウス。,きゃっちふれーずわ、せかいのほびーはうす。,ky a q ch i f u r e: z u w a # s e k a i n o h o b i: h a u s u
