filename_all,id,duration
5535496873950688380/00003,5535496873950688380,0.96
5535496873950688380/00004,5535496873950688380,1.4
5535496873950688380/00009,5535496873950688380,2.12
5535496873950688380/00014,5535496873950688380,1.32
5535496873950688380/00015,5535496873950688380,4.2
5535496873950688380/00016,5535496873950688380,2.68
5535496873950688380/00017,5535496873950688380,2.72
5535496873950688380/00019,5535496873950688380,1.36
5535496873950688380/00020,5535496873950688380,3.28
5535496873950688380/00021,5535496873950688380,1.64
5535496873950688380/00022,5535496873950688380,2.92
5535496873950688380/00023,5535496873950688380,1.64
5535496873950688380/00024,5535496873950688380,2.76
5535496873950688380/00025,5535496873950688380,3.48
5535496873950688380/00026,5535496873950688380,1.16
5535496873950688380/00027,5535496873950688380,2.0
5535496873950688380/00028,5535496873950688380,2.52
5535496873950688380/00030,5535496873950688380,1.4
5535496873950688380/00032,5535496873950688380,1.04
5535496873950688380/00033,5535496873950688380,1.92
5535496873950688380/00035,5535496873950688380,1.88
5535496873950688380/00036,5535496873950688380,2.12
5535496873950688380/00041,5535496873950688380,1.48
5535496873950688380/00043,5535496873950688380,3.52
5535496873950688380/00044,5535496873950688380,0.96
5535496873950688380/00045,5535496873950688380,1.68
5535496873950688380/00048,5535496873950688380,4.88
5535496873950688380/00050,5535496873950688380,3.0
5535496873950688380/00052,5535496873950688380,1.28
5535496873950688380/00053,5535496873950688380,2.0
5535496873950688380/00054,5535496873950688380,2.2
5535496873950688380/00055,5535496873950688380,3.6
5535496873950688380/00056,5535496873950688380,2.2
5535496873950688380/00057,5535496873950688380,1.52
5535496873950688380/00058,5535496873950688380,1.76
5535496873950688380/00060,5535496873950688380,3.72
5535496873950688380/00062,5535496873950688380,4.56
5535496873950688380/00063,5535496873950688380,1.44
5535496873950688380/00064,5535496873950688380,1.76
5535496873950688380/00066,5535496873950688380,2.24
5535496873950688380/00069,5535496873950688380,1.64
5535496873950688380/00070,5535496873950688380,3.32
5535496873950688380/00071,5535496873950688380,3.6
5535496873950688380/00072,5535496873950688380,1.12
5535496873950688380/00076,5535496873950688380,1.96
5536745420943636139/00001,5536745420943636139,2.4
5536745420943636139/00007,5536745420943636139,6.0
5536745420943636139/00012,5536745420943636139,2.0
5536745420943636139/00015,5536745420943636139,4.92
5536745420943636139/00017,5536745420943636139,1.48
5536745420943636139/00018,5536745420943636139,1.12
5536745420943636139/00020,5536745420943636139,4.28
5536745420943636139/00026,5536745420943636139,1.92
5536745420943636139/00027,5536745420943636139,4.6
5536745420943636139/00034,5536745420943636139,2.32
5536745420943636139/00035,5536745420943636139,2.48
5536745420943636139/00037,5536745420943636139,1.04
5536745420943636139/00038,5536745420943636139,1.92
5536745420943636139/00040,5536745420943636139,1.16
5536745420943636139/00041,5536745420943636139,5.28
5536745420943636139/00042,5536745420943636139,1.72
5536745420943636139/00043,5536745420943636139,1.64
5536745420943636139/00050,5536745420943636139,4.04
5536745420943636139/00051,5536745420943636139,1.56
5536745420943636139/00053,5536745420943636139,2.2
5536745420943636139/00054,5536745420943636139,1.6
5536745420943636139/00056,5536745420943636139,2.12
5536745420943636139/00057,5536745420943636139,2.8
5536745420943636139/00060,5536745420943636139,2.24
5536745420943636139/00063,5536745420943636139,0.76
5536745420943636139/00064,5536745420943636139,2.32
5536745420943636139/00065,5536745420943636139,5.68
5536745420943636139/00066,5536745420943636139,1.8
5536745420943636139/00070,5536745420943636139,3.52
5536745420943636139/00071,5536745420943636139,1.24
5536745420943636139/00075,5536745420943636139,2.2
5536745420943636139/00088,5536745420943636139,2.2
