filename_all,id,duration
5541186846624433836/00001,5541186846624433836,8.88
5541186846624433836/00002,5541186846624433836,12.52
5541186846624433836/00004,5541186846624433836,4.12
5541186846624433836/00005,5541186846624433836,4.04
5541186846624433836/00006,5541186846624433836,5.52
5541186846624433836/00007,5541186846624433836,7.6
5541186846624433836/00009,5541186846624433836,3.56
5541186846624433836/00010,5541186846624433836,8.72
5541186846624433836/00011,5541186846624433836,16.32
5541186846624433836/00012,5541186846624433836,15.92
5541186846624433836/00013,5541186846624433836,7.4
5541186846624433836/00014,5541186846624433836,8.2
5541186846624433836/00015,5541186846624433836,9.04
5541186846624433836/00016,5541186846624433836,7.48
5541186846624433836/00021,5541186846624433836,15.2
5541186846624433836/00022,5541186846624433836,4.6
5541186846624433836/00023,5541186846624433836,4.0
5541186846624433836/00024,5541186846624433836,5.92
5541186846624433836/00025,5541186846624433836,4.56
5541186846624433836/00026,5541186846624433836,12.6
5541186846624433836/00027,5541186846624433836,3.96
5541186846624433836/00028,5541186846624433836,7.2
5541186846624433836/00029,5541186846624433836,3.48
5541186846624433836/00032,5541186846624433836,6.08
5541186846624433836/00033,5541186846624433836,4.6
5541186846624433836/00034,5541186846624433836,4.72
5541186846624433836/00035,5541186846624433836,3.92
5541186846624433836/00036,5541186846624433836,7.52
5541186846624433836/00038,5541186846624433836,3.16
5541186846624433836/00039,5541186846624433836,9.0
5541186846624433836/00043,5541186846624433836,5.4
5541186846624433836/00044,5541186846624433836,6.32
5541186846624433836/00045,5541186846624433836,3.88
5541186846624433836/00046,5541186846624433836,6.8
5541186846624433836/00047,5541186846624433836,4.64
5541186846624433836/00048,5541186846624433836,18.48
5541186846624433836/00050,5541186846624433836,5.92
5541186846624433836/00052,5541186846624433836,6.92
5541186846624433836/00054,5541186846624433836,4.28
5541186846624433836/00055,5541186846624433836,4.48
5541186846624433836/00056,5541186846624433836,5.16
5541186846624433836/00059,5541186846624433836,3.76
5541186846624433836/00061,5541186846624433836,3.68
5541186846624433836/00062,5541186846624433836,4.56
5541186846624433836/00063,5541186846624433836,8.36
5541186846624433836/00064,5541186846624433836,4.52
5541186846624433836/00065,5541186846624433836,4.0
5541186846624433836/00066,5541186846624433836,9.2
5541186846624433836/00069,5541186846624433836,3.84
5541186846624433836/00070,5541186846624433836,5.28
5541186846624433836/00071,5541186846624433836,6.76
5541186846624433836/00073,5541186846624433836,3.68
5541186846624433836/00074,5541186846624433836,4.2
5541186846624433836/00076,5541186846624433836,17.52
5541186846624433836/00077,5541186846624433836,5.52
5541186846624433836/00078,5541186846624433836,8.28
5541186846624433836/00079,5541186846624433836,8.28
5541186846624433836/00082,5541186846624433836,5.0
5541186846624433836/00084,5541186846624433836,4.12
5541186846624433836/00087,5541186846624433836,6.76
5541186846624433836/00088,5541186846624433836,3.44
5541186846624433836/00089,5541186846624433836,6.0
5544538209605506454/00002,5544538209605506454,4.72
5544538209605506454/00004,5544538209605506454,4.52
5544538209605506454/00005,5544538209605506454,5.44
5544538209605506454/00006,5544538209605506454,7.28
5544538209605506454/00007,5544538209605506454,2.6
5544538209605506454/00009,5544538209605506454,6.08
5544538209605506454/00012,5544538209605506454,17.12
5544538209605506454/00013,5544538209605506454,9.8
5544538209605506454/00014,5544538209605506454,4.92
5544538209605506454/00017,5544538209605506454,5.76
5544538209605506454/00019,5544538209605506454,19.64
5544538209605506454/00020,5544538209605506454,3.84
5544538209605506454/00021,5544538209605506454,3.96
5544538209605506454/00023,5544538209605506454,10.16
5544538209605506454/00024,5544538209605506454,11.64
5544538209605506454/00029,5544538209605506454,9.44
5544538209605506454/00030,5544538209605506454,7.0
5544538209605506454/00031,5544538209605506454,15.8
5544538209605506454/00032,5544538209605506454,15.2
5544538209605506454/00033,5544538209605506454,3.88
5544538209605506454/00035,5544538209605506454,7.8
5544538209605506454/00038,5544538209605506454,6.36
5544538209605506454/00039,5544538209605506454,15.48
5544538209605506454/00040,5544538209605506454,5.68
5544538209605506454/00042,5544538209605506454,7.36
5544538209605506454/00043,5544538209605506454,7.44
5544538209605506454/00046,5544538209605506454,9.92
5544538209605506454/00047,5544538209605506454,7.08
5544538209605506454/00048,5544538209605506454,7.88
5544538209605506454/00049,5544538209605506454,10.72
5544538209605506454/00050,5544538209605506454,17.92
5544538209605506454/00051,5544538209605506454,16.96
5544538209605506454/00052,5544538209605506454,3.0
5544538209605506454/00053,5544538209605506454,3.32
5544538209605506454/00054,5544538209605506454,16.76
5544538209605506454/00055,5544538209605506454,4.2
5544538209605506454/00056,5544538209605506454,15.88
5544538209605506454/00057,5544538209605506454,6.68
5544538209605506454/00058,5544538209605506454,17.8
5544538209605506454/00060,5544538209605506454,4.88
5544538209605506454/00061,5544538209605506454,11.24
5544538209605506454/00062,5544538209605506454,7.08
5544538209605506454/00063,5544538209605506454,6.64
5544538209605506454/00065,5544538209605506454,9.96
5544538209605506454/00066,5544538209605506454,11.92
5544538209605506454/00069,5544538209605506454,21.36
5544538209605506454/00070,5544538209605506454,15.0
5544538209605506454/00071,5544538209605506454,5.6
5544538209605506454/00072,5544538209605506454,10.0
5544538209605506454/00073,5544538209605506454,11.6
5544538209605506454/00074,5544538209605506454,5.04
5544538209605506454/00075,5544538209605506454,16.96
5544538209605506454/00076,5544538209605506454,3.88
5544538209605506454/00077,5544538209605506454,5.72
5544538209605506454/00078,5544538209605506454,2.96
5544538209605506454/00080,5544538209605506454,9.8
5544538209605506454/00081,5544538209605506454,11.56
5544538209605506454/00082,5544538209605506454,8.44
5544538209605506454/00083,5544538209605506454,3.88
5544538209605506454/00084,5544538209605506454,10.08
5544538209605506454/00086,5544538209605506454,4.6
5544538209605506454/00089,5544538209605506454,7.0
5544538209605506454/00090,5544538209605506454,30.44
5544538209605506454/00094,5544538209605506454,6.64
5544538209605506454/00095,5544538209605506454,5.48
5544538209605506454/00097,5544538209605506454,3.88
5544538209605506454/00099,5544538209605506454,5.92
5544538209605506454/00101,5544538209605506454,23.76
5544538209605506454/00105,5544538209605506454,9.08
5544538209605506454/00106,5544538209605506454,5.68
5544538209605506454/00109,5544538209605506454,4.04
5544538209605506454/00111,5544538209605506454,3.44
5544538209605506454/00114,5544538209605506454,20.04
5544538209605506454/00116,5544538209605506454,5.44
5544538209605506454/00117,5544538209605506454,10.4
5544538209605506454/00118,5544538209605506454,13.52
5544538209605506454/00119,5544538209605506454,8.72
5544538209605506454/00120,5544538209605506454,13.88
5544538209605506454/00121,5544538209605506454,13.64
5544538209605506454/00122,5544538209605506454,4.12
5544538209605506454/00123,5544538209605506454,17.24
5544538209605506454/00125,5544538209605506454,7.36
5544538209605506454/00126,5544538209605506454,12.68
5544538209605506454/00128,5544538209605506454,8.28
5544538209605506454/00129,5544538209605506454,8.28
5547135805826127437/00003,5547135805826127437,4.12
5547135805826127437/00007,5547135805826127437,6.2
5547135805826127437/00009,5547135805826127437,13.8
5547135805826127437/00010,5547135805826127437,5.68
5547135805826127437/00011,5547135805826127437,7.56
5547135805826127437/00013,5547135805826127437,3.68
5547135805826127437/00014,5547135805826127437,3.88
5547135805826127437/00016,5547135805826127437,4.48
5547135805826127437/00017,5547135805826127437,7.32
5547135805826127437/00018,5547135805826127437,14.0
5547135805826127437/00019,5547135805826127437,14.52
5547135805826127437/00023,5547135805826127437,11.68
5547135805826127437/00025,5547135805826127437,5.56
5547135805826127437/00027,5547135805826127437,7.68
5547135805826127437/00028,5547135805826127437,10.32
5547135805826127437/00030,5547135805826127437,5.76
5547135805826127437/00031,5547135805826127437,16.12
5547135805826127437/00033,5547135805826127437,5.24
5547135805826127437/00034,5547135805826127437,4.32
5547135805826127437/00035,5547135805826127437,8.32
5547135805826127437/00037,5547135805826127437,15.0
5547135805826127437/00038,5547135805826127437,6.2
5547135805826127437/00039,5547135805826127437,8.4
5547135805826127437/00040,5547135805826127437,4.44
5547135805826127437/00041,5547135805826127437,8.84
5547135805826127437/00042,5547135805826127437,5.0
5547135805826127437/00043,5547135805826127437,3.88
5547135805826127437/00044,5547135805826127437,4.68
5547135805826127437/00045,5547135805826127437,4.04
5547135805826127437/00046,5547135805826127437,3.68
5547135805826127437/00048,5547135805826127437,6.16
5547135805826127437/00049,5547135805826127437,13.76
5547135805826127437/00050,5547135805826127437,5.28
5547135805826127437/00051,5547135805826127437,11.76
5547135805826127437/00054,5547135805826127437,10.84
5547135805826127437/00057,5547135805826127437,6.48
5547135805826127437/00058,5547135805826127437,11.6
5547135805826127437/00060,5547135805826127437,3.88
5547135805826127437/00062,5547135805826127437,10.24
5547135805826127437/00063,5547135805826127437,7.32
5547135805826127437/00064,5547135805826127437,6.36
5547135805826127437/00065,5547135805826127437,11.0
5547135805826127437/00066,5547135805826127437,5.44
5547135805826127437/00068,5547135805826127437,4.6
5547135805826127437/00069,5547135805826127437,3.0
5547135805826127437/00072,5547135805826127437,8.16
5547135805826127437/00073,5547135805826127437,15.84
5547135805826127437/00075,5547135805826127437,10.68
5547135805826127437/00076,5547135805826127437,24.56
5547135805826127437/00077,5547135805826127437,4.08
5547135805826127437/00078,5547135805826127437,17.08
5547135805826127437/00079,5547135805826127437,10.84
5547135805826127437/00080,5547135805826127437,15.2
5547135805826127437/00082,5547135805826127437,7.52
5547135805826127437/00083,5547135805826127437,8.84
5547135805826127437/00084,5547135805826127437,4.08
5547135805826127437/00085,5547135805826127437,18.92
5547135805826127437/00086,5547135805826127437,8.04
5547135805826127437/00087,5547135805826127437,3.96
5547135805826127437/00088,5547135805826127437,15.12
5547135805826127437/00089,5547135805826127437,13.4
5547135805826127437/00090,5547135805826127437,11.6
5547135805826127437/00091,5547135805826127437,3.76
5547135805826127437/00093,5547135805826127437,21.56
5547135805826127437/00094,5547135805826127437,9.44
5547135805826127437/00095,5547135805826127437,6.48
5547135805826127437/00096,5547135805826127437,14.68
5547135805826127437/00101,5547135805826127437,5.84
5547135805826127437/00102,5547135805826127437,8.32
5547135805826127437/00106,5547135805826127437,3.6
5547135805826127437/00107,5547135805826127437,3.24
5547135805826127437/00110,5547135805826127437,25.6
5547135805826127437/00113,5547135805826127437,28.72
5547135805826127437/00114,5547135805826127437,4.76
5547135805826127437/00115,5547135805826127437,22.16
5547135805826127437/00117,5547135805826127437,5.96
5547135805826127437/00118,5547135805826127437,11.72
5547135805826127437/00120,5547135805826127437,3.88
5547135805826127437/00121,5547135805826127437,4.84
5547135805826127437/00122,5547135805826127437,12.6
5547135805826127437/00123,5547135805826127437,6.36
5547135805826127437/00125,5547135805826127437,15.04
5547135805826127437/00127,5547135805826127437,18.36
5547135805826127437/00128,5547135805826127437,4.96
5547135805826127437/00129,5547135805826127437,18.36
5547135805826127437/00132,5547135805826127437,6.64
5547135805826127437/00134,5547135805826127437,7.72
5547135805826127437/00135,5547135805826127437,9.08
5547135805826127437/00137,5547135805826127437,9.84
5547135805826127437/00139,5547135805826127437,4.52
5547135805826127437/00142,5547135805826127437,5.48
5547135805826127437/00143,5547135805826127437,6.64
5547135805826127437/00145,5547135805826127437,15.96
5547135805826127437/00146,5547135805826127437,5.44
5547135805826127437/00147,5547135805826127437,19.16
5547135805826127437/00148,5547135805826127437,12.0
5547135805826127437/00151,5547135805826127437,11.48
5547135805826127437/00152,5547135805826127437,5.24
5547135805826127437/00153,5547135805826127437,5.2
5547135805826127437/00154,5547135805826127437,19.6
5547135805826127437/00155,5547135805826127437,24.04
5547135805826127437/00156,5547135805826127437,9.88
5547135805826127437/00158,5547135805826127437,2.76
5547135805826127437/00159,5547135805826127437,10.28
5547135805826127437/00160,5547135805826127437,4.64
5547135805826127437/00161,5547135805826127437,2.68
5547135805826127437/00162,5547135805826127437,8.12
5547135805826127437/00163,5547135805826127437,3.24
5547135805826127437/00164,5547135805826127437,15.6
5547135805826127437/00165,5547135805826127437,2.88
5550362185258884938/00001,5550362185258884938,5.48
5550362185258884938/00002,5550362185258884938,15.08
5550362185258884938/00004,5550362185258884938,7.52
5550362185258884938/00005,5550362185258884938,8.28
5550362185258884938/00006,5550362185258884938,8.12
5550362185258884938/00008,5550362185258884938,7.12
5550362185258884938/00010,5550362185258884938,17.28
5550362185258884938/00011,5550362185258884938,5.08
5550362185258884938/00012,5550362185258884938,9.72
5550362185258884938/00015,5550362185258884938,13.16
5550362185258884938/00016,5550362185258884938,13.44
5550362185258884938/00017,5550362185258884938,4.72
5550362185258884938/00018,5550362185258884938,9.2
5550362185258884938/00019,5550362185258884938,5.12
5550362185258884938/00020,5550362185258884938,5.12
5550362185258884938/00022,5550362185258884938,22.88
5550362185258884938/00023,5550362185258884938,4.64
5550362185258884938/00024,5550362185258884938,6.64
5550362185258884938/00025,5550362185258884938,10.04
5550362185258884938/00026,5550362185258884938,6.84
5550362185258884938/00027,5550362185258884938,10.72
5550362185258884938/00028,5550362185258884938,14.72
5550362185258884938/00029,5550362185258884938,6.84
5550362185258884938/00030,5550362185258884938,15.56
5550362185258884938/00031,5550362185258884938,11.08
5550362185258884938/00032,5550362185258884938,14.84
5550362185258884938/00033,5550362185258884938,14.2
5550362185258884938/00034,5550362185258884938,5.56
5550362185258884938/00035,5550362185258884938,4.8
5550362185258884938/00036,5550362185258884938,3.24
5550362185258884938/00037,5550362185258884938,6.52
5550362185258884938/00038,5550362185258884938,16.72
5550362185258884938/00039,5550362185258884938,14.52
5550362185258884938/00041,5550362185258884938,6.84
5550362185258884938/00042,5550362185258884938,3.56
5550362185258884938/00043,5550362185258884938,10.36
5550362185258884938/00046,5550362185258884938,23.6
5550362185258884938/00047,5550362185258884938,12.72
5550362185258884938/00048,5550362185258884938,4.28
5550362185258884938/00050,5550362185258884938,10.28
5550362185258884938/00051,5550362185258884938,7.84
5550362185258884938/00052,5550362185258884938,6.68
5550362185258884938/00053,5550362185258884938,14.08
5550362185258884938/00054,5550362185258884938,18.08
5550362185258884938/00055,5550362185258884938,5.84
5550362185258884938/00056,5550362185258884938,3.76
5550362185258884938/00057,5550362185258884938,14.64
5550362185258884938/00059,5550362185258884938,21.76
5550362185258884938/00061,5550362185258884938,5.4
5550362185258884938/00062,5550362185258884938,4.64
5550362185258884938/00063,5550362185258884938,5.24
5550362185258884938/00065,5550362185258884938,11.68
5550362185258884938/00066,5550362185258884938,4.28
5550362185258884938/00067,5550362185258884938,13.92
5550362185258884938/00068,5550362185258884938,3.8
5550362185258884938/00069,5550362185258884938,6.4
5550362185258884938/00070,5550362185258884938,7.0
5550362185258884938/00071,5550362185258884938,11.96
5550362185258884938/00072,5550362185258884938,14.16
5550362185258884938/00073,5550362185258884938,4.76
5550362185258884938/00074,5550362185258884938,10.64
5550362185258884938/00075,5550362185258884938,18.4
5550362185258884938/00076,5550362185258884938,6.48
5550362185258884938/00077,5550362185258884938,7.12
5550362185258884938/00078,5550362185258884938,7.44
5550362185258884938/00079,5550362185258884938,16.56
5553131150674621667/00001,5553131150674621667,3.6
5553131150674621667/00002,5553131150674621667,4.88
5553131150674621667/00004,5553131150674621667,3.04
5553131150674621667/00007,5553131150674621667,1.52
5553131150674621667/00008,5553131150674621667,5.08
5553131150674621667/00009,5553131150674621667,10.84
5553131150674621667/00011,5553131150674621667,4.56
5553131150674621667/00012,5553131150674621667,2.2
5553131150674621667/00014,5553131150674621667,4.52
5553131150674621667/00015,5553131150674621667,5.4
5553131150674621667/00016,5553131150674621667,1.56
5553131150674621667/00017,5553131150674621667,26.44
5553131150674621667/00019,5553131150674621667,16.04
5553131150674621667/00022,5553131150674621667,4.04
5553131150674621667/00023,5553131150674621667,1.96
5553131150674621667/00026,5553131150674621667,3.4
5553131150674621667/00027,5553131150674621667,3.16
5553131150674621667/00028,5553131150674621667,6.52
5553131150674621667/00029,5553131150674621667,4.88
5553131150674621667/00030,5553131150674621667,4.12
5553131150674621667/00034,5553131150674621667,5.28
5553131150674621667/00036,5553131150674621667,4.8
5553131150674621667/00037,5553131150674621667,8.88
5553131150674621667/00040,5553131150674621667,4.04
5553131150674621667/00041,5553131150674621667,5.28
5553131150674621667/00043,5553131150674621667,5.64
5553131150674621667/00048,5553131150674621667,4.6
5553131150674621667/00050,5553131150674621667,6.24
5553131150674621667/00054,5553131150674621667,4.08
5553131150674621667/00061,5553131150674621667,3.28
5553131150674621667/00062,5553131150674621667,3.0
5553131150674621667/00063,5553131150674621667,3.44
5553131150674621667/00064,5553131150674621667,2.0
5553131150674621667/00065,5553131150674621667,3.6
5553131150674621667/00066,5553131150674621667,5.6
5553131150674621667/00067,5553131150674621667,5.36
5553131150674621667/00069,5553131150674621667,4.72
5553131150674621667/00074,5553131150674621667,4.08
5553131150674621667/00075,5553131150674621667,3.48
5553131150674621667/00076,5553131150674621667,4.68
5553131150674621667/00077,5553131150674621667,4.0
5553131150674621667/00079,5553131150674621667,11.36
5553131150674621667/00080,5553131150674621667,9.2
5553131150674621667/00081,5553131150674621667,6.84
5553131150674621667/00083,5553131150674621667,5.8
5553131150674621667/00089,5553131150674621667,3.92
5553131150674621667/00091,5553131150674621667,7.72
5553131150674621667/00095,5553131150674621667,11.24
5553131150674621667/00096,5553131150674621667,7.88
5553131150674621667/00101,5553131150674621667,2.08
5553131150674621667/00102,5553131150674621667,7.2
5553131150674621667/00103,5553131150674621667,2.96
5553131150674621667/00104,5553131150674621667,2.96
5553131150674621667/00105,5553131150674621667,4.76
5553131150674621667/00112,5553131150674621667,5.2
5553131150674621667/00113,5553131150674621667,5.52
5553131150674621667/00114,5553131150674621667,3.52
5553131150674621667/00116,5553131150674621667,3.36
5553131150674621667/00117,5553131150674621667,4.24
5553131150674621667/00118,5553131150674621667,3.16
5553131150674621667/00121,5553131150674621667,1.88
5553131150674621667/00123,5553131150674621667,4.04
5553131150674621667/00124,5553131150674621667,8.36
5553131150674621667/00127,5553131150674621667,3.96
5553131150674621667/00129,5553131150674621667,2.6
5553131150674621667/00130,5553131150674621667,9.04
5553131150674621667/00137,5553131150674621667,4.52
5555098675192919442/00001,5555098675192919442,6.12
5555098675192919442/00002,5555098675192919442,8.76
5555098675192919442/00003,5555098675192919442,9.04
5555098675192919442/00004,5555098675192919442,4.64
5555098675192919442/00005,5555098675192919442,6.32
5555098675192919442/00006,5555098675192919442,7.48
5555098675192919442/00007,5555098675192919442,9.36
5555098675192919442/00008,5555098675192919442,7.68
5555098675192919442/00009,5555098675192919442,4.8
5555098675192919442/00010,5555098675192919442,3.6
5555098675192919442/00013,5555098675192919442,5.6
5555098675192919442/00014,5555098675192919442,3.32
5555098675192919442/00016,5555098675192919442,3.84
5555098675192919442/00018,5555098675192919442,5.28
5555098675192919442/00019,5555098675192919442,4.92
5555098675192919442/00020,5555098675192919442,6.2
5555098675192919442/00021,5555098675192919442,3.08
5555098675192919442/00022,5555098675192919442,7.56
5555098675192919442/00023,5555098675192919442,2.6
5555098675192919442/00024,5555098675192919442,9.88
5555098675192919442/00025,5555098675192919442,5.8
